#date, runoffcorr (m3WE)
2000-01-31,5490472.485
2000-02-29,4907622.0929999985
2000-03-31,5117033.5600000005
2000-04-30,6553319.469999999
2000-05-31,58345126.75
2000-06-30,228001157.625
2000-07-31,955303298.0
2000-08-31,878077748.5
2000-09-30,205466293.343
2000-10-31,8020922.018999999
2000-11-30,6993548.483000001
2000-12-31,6414503.232000001
2001-01-31,5952045.107999999
2001-02-28,5048448.829000001
2001-03-31,5373112.406000001
2001-04-30,5547208.094
2001-05-31,29791341.155999996
2001-06-30,281234970.0
2001-07-31,971659828.0
2001-08-31,748020393.5
2001-09-30,137185664.5
2001-10-31,9882008.987
2001-11-30,6732286.797000001
2001-12-31,9356197.985
2002-01-31,5452095.594
2002-02-28,4722159.701
2002-03-31,5085097.265000001
2002-04-30,5044899.609
2002-05-31,33097663.188
2002-06-30,591289264.5
2002-07-31,1165605847.0
2002-08-31,500761855.75
2002-09-30,260325190.75199997
2002-10-31,35661096.719
2002-11-30,8296766.377
2002-12-31,8833576.905000001
2003-01-31,6650821.656
2003-02-28,5767049.437000001
2003-03-31,6288889.733
2003-04-30,7374733.763
2003-05-31,35689089.563999996
2003-06-30,245345033.875
2003-07-31,932153496.0
2003-08-31,933358481.0
2003-09-30,191678166.563
2003-10-31,22188967.906
2003-11-30,9431306.186000003
2003-12-31,8875525.999
2004-01-31,8162815.077000001
2004-02-29,7097971.358
2004-03-31,7108777.686000003
2004-04-30,7533667.235999999
2004-05-31,32078889.548
2004-06-30,569557752.75
2004-07-31,1385568061.0
2004-08-31,911362176.0
2004-09-30,151241583.5
2004-10-31,14913391.158
2004-11-30,8235685.174000001
2004-12-31,7797872.719999999
2005-01-31,7934735.624000001
2005-02-28,6289410.185999999
2005-03-31,8869653.609
2005-04-30,11487681.361
2005-05-31,46931970.672
2005-06-30,513630534.25
2005-07-31,1680790878.0
2005-08-31,770660555.0
2005-09-30,72067787.89000002
2005-10-31,7422235.313
2005-11-30,6748663.887999999
2005-12-31,6432608.436999999
2006-01-31,6373776.702
2006-02-28,5304799.687000001
2006-03-31,5715402.515999999
2006-04-30,5513507.171000001
2006-05-31,23962151.983000003
2006-06-30,191933551.25
2006-07-31,861585443.75
2006-08-31,1050318393.0
2006-09-30,129969684.125
2006-10-31,11142426.391
2006-11-30,7057288.641
2006-12-31,6166171.653000001
2007-01-31,5979019.641
2007-02-28,5073177.998
2007-03-31,5154518.262000001
2007-04-30,14689059.906
2007-05-31,15298741.641999999
2007-06-30,562305309.5
2007-07-31,1595520810.0
2007-08-31,715222759.0
2007-09-30,65883683.36
2007-10-31,8725032.268
2007-11-30,5526248.438999999
2007-12-31,5364816.596
2008-01-31,5152728.436000001
2008-02-29,4809887.312999999
2008-03-31,4868129.28
2008-04-30,5222237.954999999
2008-05-31,45107677.65800001
2008-06-30,383930578.0
2008-07-31,1135027032.0
2008-08-31,784469084.0
2008-09-30,231538886.468
2008-10-31,7745257.547999997
2008-11-30,6408587.109
2008-12-31,6051950.658000001
2009-01-31,5621009.83
2009-02-28,5043350.937000001
2009-03-31,5221268.203
2009-04-30,5201191.579000001
2009-05-31,30238477.047
2009-06-30,315823863.25
2009-07-31,1107607610.0
2009-08-31,696683495.5
2009-09-30,128657492.062
2009-10-31,8423462.111
2009-11-30,6721223.81
2009-12-31,15933207.532999998
2010-01-31,6212362.813000001
2010-02-28,5721758.249999999
2010-03-31,5644290.612
2010-04-30,6156437.233
2010-05-31,79944581.031
2010-06-30,744032275.0
2010-07-31,1630529606.0
2010-08-31,1079589389.0
2010-09-30,516920548.25
2010-10-31,50207693.686999984
2010-11-30,7233069.812
2010-12-31,7833123.033
2011-01-31,6385917.467
2011-02-28,5360348.283000001
2011-03-31,5643048.891
2011-04-30,6039022.484999999
2011-05-31,8519914.013999999
2011-06-30,252604237.5
2011-07-31,1373927318.0
2011-08-31,725481379.75
2011-09-30,163222152.812
2011-10-31,7945448.626999999
2011-11-30,7538190.903999999
2011-12-31,5898732.110000001
2012-01-31,5268587.279000001
2012-02-29,4728413.189
2012-03-31,5019297.002
2012-04-30,5183327.313999998
2012-05-31,23762464.874
2012-06-30,629500124.938
2012-07-31,1810180796.0
2012-08-31,955847058.5
2012-09-30,95493584.702
2012-10-31,6858337.500000002
2012-11-30,5201557.029000001
2012-12-31,5264603.238999999
2013-01-31,4825816.578999999
2013-02-28,4241112.7020000005
2013-03-31,4655425.282000001
2013-04-30,4556078.843
2013-05-31,15323850.33
2013-06-30,309704986.0
2013-07-31,1119911331.0
2013-08-31,686764818.25
2013-09-30,107277055.09400001
2013-10-31,23781572.702
2013-11-30,5668159.7639999995
2013-12-31,5398542.874999999
2014-01-31,5449603.794999999
2014-02-28,4404929.312
2014-03-31,4771034.7020000005
2014-04-30,6212067.358999998
2014-05-31,37705771.188
2014-06-30,381125363.5
2014-07-31,1255847136.0
2014-08-31,1095842364.0
2014-09-30,162497876.531
2014-10-31,7444041.8139999965
2014-11-30,7997886.608000003
2014-12-31,6823670.545000001
2015-01-31,5711506.920000003
2015-02-28,4925336.126
2015-03-31,5144975.984000001
2015-04-30,5305926.890999999
2015-05-31,14341161.548
2015-06-30,191033914.313
2015-07-31,1001918822.0
2015-08-31,650104701.0
2015-09-30,221804166.125
2015-10-31,11094896.780999998
2015-11-30,7664399.578000001
2015-12-31,7573184.236000001
2016-01-31,6534334.547
2016-02-29,5760258.809
2016-03-31,5735410.109999999
2016-04-30,6792283.686
2016-05-31,42086750.68800001
2016-06-30,685862012.75
2016-07-31,1641257594.0
2016-08-31,818872502.0
2016-09-30,117483794.156
2016-10-31,35915890.49899999
2016-11-30,7494900.187999999
2016-12-31,6080495.595
2017-01-31,6728602.328000001
2017-02-28,5334526.060000001
2017-03-31,5169800.862000001
2017-04-30,5024867.794000001
2017-05-31,104867509.155
2017-06-30,617423071.0
2017-07-31,1110256638.5
2017-08-31,666741579.25
2017-09-30,208312462.28100002
2017-10-31,15323767.343
2017-11-30,7267306.235
2017-12-31,6356164.655
2018-01-31,5479434.325000001
2018-02-28,4680134.423
2018-03-31,5001467.5940000005
2018-04-30,5274023.1280000005
2018-05-31,13258251.579000002
2018-06-30,269976685.25
2018-07-31,1106111738.0
2018-08-31,779519405.5
2018-09-30,142259889.81300002
2018-10-31,7788312.187999998
2018-11-30,8142176.6850000005
2018-12-31,6637587.063
2019-01-31,6345526.219
2019-02-28,5365854.61
2019-03-31,5540007.533
2019-04-30,24206951.687
2019-05-31,93826814.983
2019-06-30,681143687.875
2019-07-31,1541477362.0
2019-08-31,834171474.0
2019-09-30,154082882.84399998
2019-10-31,27341584.922
2019-11-30,7583181.4240000015
2019-12-31,7413581.608999997
2020-01-31,6758314.718
2020-02-29,5843273.015
2020-03-31,6003628.421999999
2020-04-30,14028755.875000002
2020-05-31,61479348.36
2020-06-30,438646177.5
2020-07-31,1081019698.0
